기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	광진구	부동산업	1,275	495	3,725	2,419	1,306	990	1,551	153	1,112	12	66	120	996	1,242	3,310	15	181	18	234
2018	광진구	전문 과학 및 기술 서비스업	798	129	4,811	2,993	1,818	463	1,323	290	2,275	44	1,205	1	8	706	3,698	38	537	54	576
2018	광진구	사업시설 관리 사업 지원 및 임대 서비스업	451	120	10,213	5,111	5,102	220	536	224	9,354	7	323	-	-	378	4,610	25	4,536	48	1,067
2018	광진구	공공행정 국방 및 사회보장 행정	36	4	2,662	1,729	933	-	-	-	-	36	2,662	-	-	35	2,654	-	-	1	8
2018	광진구	교육 서비스업	1,183	648	14,139	6,331	7,808	933	2,522	100	1,072	116	10,195	34	350	1,072	5,879	18	4,584	93	3,676
2018	광진구	보건업 및 사회복지 서비스업	909	371	11,615	2,161	9,454	748	5,556	6	261	48	4,219	107	1,579	873	7,919	2	576	34	3,120
2018	광진구	예술 스포츠 및 여가관련 서비스업	1,033	476	3,862	2,078	1,784	954	2,162	44	1,181	26	501	9	18	1,002	2,454	4	141	27	1,267
2018	광진구	협회 및 단체 수리 및 기타 개인 서비스업	2,587	1,283	5,608	2,577	3,031	2,071	3,715	47	524	112	511	357	858	2,499	5,003	13	184	75	421
2018	동대문구	합계	31,878	10,575	140,748	74,303	66,445	26,996	64,363	3,494	43,116	617	28,070	771	5,199	30,485	101,258	341	15,782	1,052	23,708
2018	동대문구	광업	1	-	1	1	-	-	-	1	1	-	-	-	-	1	1	-	-	-	-
2018	동대문구	제조업	3,297	826	13,543	7,066	6,477	2,871	9,652	420	3,840	5	46	1	5	3,231	12,317	44	1,047	22	179
2018	동대문구	전기 가스 증기 및 공기조절 공급업	1	-	2	2	-	-	-	1	2	-	-	-	-	1	2	-	-	-	-
2018	동대문구	수도 하수 및 폐기물 처리 원료 재생업	19	1	148	127	21	4	6	8	127	7	15	-	-	18	141	-	-	1	7
2018	동대문구	건설업	766	111	5,849	4,916	933	497	1,375	267	4,345	2	129	-	-	753	5,595	7	90	6	164
2018	동대문구	도매 및 소매업	10,923	3,566	31,318	18,387	12,931	9,239	18,746	1,661	12,384	22	184	1	4	10,452	25,791	140	2,023	331	3,504
2018	동대문구	운수 및 창고업	3,617	156	6,562	6,065	497	3,524	4,037	67	1,242	20	1,185	6	98	3,584	5,262	3	25	30	1,275
2018	동대문구	숙박 및 음식점업	4,863	2,745	14,447	5,651	8,796	4,681	12,660	173	1,678	7	71	2	38	4,726	13,054	12	136	125	1,257
2018	동대문구	정보통신업	254	41	2,119	1,194	925	137	315	99	1,389	16	406	2	9	232	1,110	5	106	17	903
2018	동대문구	금융 및 보험업	275	39	4,314	1,364	2,950	32	59	182	3,686	61	569	-	-	71	453	15	417	189	3,444
2018	동대문구	부동산업	1,359	451	4,598	2,982	1,616	1,096	1,828	113	1,587	22	98	128	1,085	1,326	3,752	8	576	25	270
2018	동대문구	전문 과학 및 기술 서비스업	630	102	7,073	4,882	2,191	390	1,140	172	4,057	56	1,820	12	56	560	3,314	37	3,239	33	520
2018	동대문구	사업시설 관리 사업 지원 및 임대 서비스업	435	134	8,666	4,154	4,512	223	578	193	6,972	14	1,080	5	36	357	3,455	25	4,461	53	750
2018	동대문구	공공행정 국방 및 사회보장 행정	50	3	3,443	2,308	1,135	-	-	-	-	50	3,443	-	-	50	3,443	-	-	-	-
2018	동대문구	교육 서비스업	1,000	519	16,243	7,612	8,631	770	2,381	71	1,165	125	12,301	34	396	900	7,238	16	3,008	84	5,997
2018	동대문구	보건업 및 사회복지 서비스업	1,031	399	14,494	3,414	11,080	794	6,622	4	22	57	5,522	176	2,328	990	9,642	5	286	36	4,566
2018	동대문구	예술 스포츠 및 여가관련 서비스업	776	321	2,462	1,259	1,203	718	1,693	27	154	23	595	8	20	745	1,881	8	205	23	376
